Lysaght Bondek-C,Gemtree FRP Board-C,Gypsum Board-C,Cement Board-C,Knauf FRP Board-C,Promatect HBoard-C,none contains,,,,,,,,,,,
Corrugated profile-C,Composite floor slab-C,Shear stud-MC,plane contains,,,,,,,,,,,,,,
Welding Electrode-WM,Electrode-WM,welding materials-WM,welding rod-WM,plane contains,,,,,,,,,,,,,
2D panel-C,Steel floor beam-C,Steel Column-C,Steel ceiling beam-C,Shear stud-MC,CandleLoc System-MC,Corner Casting-MC,Steel Purlins-MC,Steel Angle-MC,space contains,,,,,,,,
3D steel frame-C,Steel frame-C,Fire protection paint-PM,Firecut FM-900 paint-PM,Firecut paint-PM,FM-900 paint-PM,space contains,,,,,,,,,,,
Spacer-MC,Tie Wire-MC,Steel Reinforcement Bar-MC,Rebar-MC,Reinforcement Bar-MC,Bar Chair-MC,space contains,,,,,,,,,,,
Non-shrink Grout-CM,Concrete-CM,Concrete mixture-CM,Concrete addings-CM,cement-CM,stone-SM,sand-SM,space contains,,,,,,,,,,
Aluminium Cladding-C,Door Frame-C,Overhead Door Closer-C,Door threshold-C,Rockwool Acoustic Insulation-C,Acoustic Insulation-C,rockwool acoustic insulation covers door threshold,rockwool acoustic insulation covers door frame,acoustic insulation covers door threshold,acoustic insulation covers door frame,aluminium cladding covers rockwool acoustic insulation,aluminium cladding covers acoustic insulation,door interface contains;interface contains,,,,,
Aluminium Cladding-C,Window threshold-C,Window frame-C,Acoustic Insulation-C,Rockwool Acoustic Insulation-C,rockwool acoustic insulation covers window threshold,rockwool acoustic insulation covers window frame,acoustic insulation covers window threshold,acoustic insulation covers window frame,aluminium cladding covers rockwool acoustic insulation,aluminium cladding covers acoustic insulation,window interface contains;interface contains,,,,,,
Steel ceiling beam-C,Ceiling panel-C,Shear stud-MC,ceiling panel covers steel ceiling beam,ceiling system contains;horizontal plane contains,,,,,,,,,,,,,
Rockwool-C,Elastometric Cemenititious Waterproofing Membrane-C,cemenititious membrane-C,waterproofing membrane-C,cemenititious membrane-C,rockwool covers elastometric cemenititious waterproofing membrane,rockwool covers cemenititious membrane,rockwool covers waterproofing membrane,ceiling system contains;horizontal plane contains,,,,,,,,,
Promatect Hboard-C,Gemtree FRP Board-C,Ceiling panel-C,Stud-MC,ceiling panel covers promatect hboard,ceiling panel covers gemtree frp board,ceiling system contains;horizontal plane contains,,,,,,,,,,,
Wall Tiles-C,Wall panel-C,Metal Skeleton-C,Shear stud-MC,Runners-MC,Track-MC,Channel-MC,Noggins-MC,Braces-MC,wall tiles covers wall panel,wall panel covers metal skeleton,wall system contains;vertical plane contains,,,,,,
Rockwool-C,Mineral Wool Insulation-C,cemenititious membrane-C,waterproofing membrane-C,mineral wool insulation covers cemenititious membrane ,mineral wool insulation covers waterproofing membrane,rockwool covers waterproofing membrane,rockwool covers cemenititious membrane,wall system contains;vertical plane contains,,,,,,,,,
Promatect Hboard-C,Gemtree FRP Board-C,Wall panel-C,Stud-MC,wall panel covers promatect hboard,wall panel covers gemtree frp board,wall system contains;vertical plane contains,,,,,,,,,,,
Condiuts and Accessories-C,Flexible Conduit-C,MEP Conduit-C,Conduit-C,uPVC Conduits-C,uPVC Conduits and Fittings-MC,uPVC Fittings-MC,MEP system contains;wall system contains;vertical plane contains,,,,,,,,,,
Gypsum Board-C,Laminate finsishes-C,Finishings-C,Laminates-C,Wall finishes-C,laminate finsishes covers gypsum board,finishings covers gypsum board,laminates covers gypsum board,wall finishes covers gypsum board,wall system contains;vertical plane contains,,,,,,,,
Cable Trunking-C,uPVC Pipes-C,Epoxy Coated Cast iron Pipes-C,Copper Pipes-C,Epoxy pipes-C,Epoxy Coated Cast Fittings-MC,uPVC Fittings-MC,MEP system contains;ceiling system contains;horizontal plane contains,,,,,,,,,,
Ceiling panel-C,Anti-mould Emulsion Paint-PM,Emulsion Paint-PM,ceiling system contains;horizontal plane contains,,,,,,,,,,,,,,
Wall panel-C,Anti-mould Emulsion Paint-PM,Emulsion Paint-PM,wall system contains;vertical plane contains,,,,,,,,,,,,,,
ventilating pipe-C,air chimney-C,ventilation duct-C,ventiduct-C,pipe fittings-MC,MEP system contains,,,,,,,,,,,,
Galvanized Steel Pipes-C,Galvanized epoxy pipes-C,Sprinkler Heads-C,Smoke Detectors-C,Fire Alarm Bells-C,Fire Alarm-C,Fire Detector-C,Grooved Couplings-MC,Galvanized Steel Pipes Fittings-MC,Grooved Pipe Fittings-MC,MEP system contains,,,,,,,
plubming pipe-C,water supply pipe-C,drain pipe-C,outlet pipe-C,exhaust water pipe-C,pip fittings-MC,MEP system contains,,,,,,,,,,,
Non-Armoured Cable-C,Amoured wiring-C,PVC cable-C,SWA copper cable-C,PVC copper cable-C,Busbar Chamber-MC,Cable Tray-MC,MEP system contains,,,,,,,,,,
heater-C,gas valve-C,gas meter-C,gas heater-C,water heater-C,gas system contains;MEP system contains,,,,,,,,,,,,
Window type AC-C,AC-C,Air Diffuser-C,Air Grilles-C,Rubber Vibration Isolators-C,Spring Vibration Isolators-C,Carbon Filter-C,Activated Carbon Filter-C,AC system contains;MEP system contains,,,,,,,,,
fans-C,air fan-C,electric fan-C,DC fan-C,ventilator-C,venti-system contains;MEP system contains,,,,,,,,,,,,
Lightings-C,Weather Wiring Accessories-C,Wiring Accessories-C,Cable Trunking-C,Flexible Conduit-C,Lighting Fittings-MC,Battery Lighting Fittings-MC,Label-MC,lighting system contains;MEP system contains,,,,,,,,,
